data_hora,tipo_postura,duracao,angulo_pescoco,angulo_coluna
2025-05-29 18:08:47.494641,Postura correta,1,62.555129665951476,98.08525380686866
2025-05-29 18:08:47.430388,Postura correta,1,62.31370318266604,98.16508856943278
2025-05-29 18:08:47.366643,Postura correta,1,61.950045665670594,98.28297725685798
2025-05-29 18:08:47.304412,Postura correta,1,61.290471795649374,98.44359522847148
2025-05-29 18:08:47.238870,Postura correta,1,61.25539480081394,97.94350879723306
2025-05-29 18:08:47.173803,Postura correta,1,60.987050572510896,97.97743224937197
2025-05-29 18:08:47.110771,Postura correta,1,60.530746858432295,98.01375346388349
2025-05-29 18:08:47.046303,Postura correta,1,60.1821286761858,98.15225866723215
2025-05-29 18:08:46.982990,Postura correta,1,60.19966935151784,98.19324339239182
2025-05-29 18:08:46.920222,Postura correta,1,60.06481968992633,98.20092291200011
2025-05-29 18:08:46.859163,Postura incorreta - Pescoço muito inclinado,1,59.18742151419404,97.39979084309108
2025-05-29 18:08:46.788758,Postura incorreta - Pescoço muito inclinado,1,58.137470354649665,96.31183544177422
2025-05-29 18:08:46.722245,Postura incorreta - Pescoço muito inclinado,1,57.469182646377284,95.38281371018392
2025-05-29 18:08:46.659306,Postura incorreta - Pescoço muito inclinado,1,57.4842150777544,95.39495256768443
2025-05-29 18:08:46.599491,Postura incorreta - Pescoço muito inclinado,1,57.572854639241704,95.65265078173788
2025-05-29 18:08:46.540286,Postura incorreta - Pescoço muito inclinado,1,58.04352115951473,96.0770062456069
2025-05-29 18:08:46.471221,Postura incorreta - Pescoço muito inclinado,1,58.24987849666404,96.39759990938542
2025-05-29 18:08:46.408171,Postura incorreta - Pescoço muito inclinado,1,58.471121814022496,96.78463786130453
2025-05-29 18:08:46.343544,Postura incorreta - Pescoço muito inclinado,1,58.736415542549125,96.90603016877321
2025-05-29 18:08:46.280685,Postura incorreta - Pescoço muito inclinado,1,58.78227510092696,96.88681741212426
2025-05-29 18:08:46.217865,Postura incorreta - Pescoço muito inclinado,1,58.89004872715098,96.86106931500477
2025-05-29 18:08:46.156366,Postura incorreta - Pescoço muito inclinado,1,59.46155353553806,97.09071239986673
2025-05-29 18:08:46.087447,Postura correta,1,60.02559083600215,97.19148676222561
2025-05-29 18:08:46.022708,Postura correta,1,61.51127701339211,97.53476743855546
2025-05-29 18:08:45.924242,Postura correta,1,63.144674314889976,98.12108848327851
2025-05-29 18:08:45.863042,Postura correta,1,64.33254715394082,99.27660553050461
2025-05-29 18:08:45.793404,Postura correta,1,65.81114517075436,99.69254073542365
2025-05-29 18:08:45.737045,Postura correta,1,66.93983582680065,99.86520736131709
2025-05-29 18:08:45.665276,Postura correta,1,66.91610042232368,99.91152206307629
2025-05-29 18:08:45.599804,Postura correta,1,67.03230609592764,100.23827171504193
2025-05-29 18:08:45.542483,Postura correta,1,66.94713269950478,99.80770367074714
2025-05-29 18:08:45.483123,Postura correta,1,66.87496907314146,99.768352052291
2025-05-29 18:08:45.429613,Postura correta,1,66.91540742844577,99.81870844363843
2025-05-29 18:08:45.367047,Postura correta,1,66.71874553844872,99.76434539695087
2025-05-29 18:08:45.305985,Postura correta,1,66.93031743579618,99.95510424689
2025-05-29 18:08:45.241910,Postura correta,1,67.30740216461756,100.47112693862583
2025-05-29 18:08:45.183728,Postura correta,1,66.9842659607816,100.2090091704007
2025-05-29 18:08:45.121369,Postura correta,1,66.28204245274242,100.11769010273625
2025-05-29 18:08:45.062720,Postura correta,1,66.47599912699573,99.96298185144663
2025-05-29 18:08:45.001463,Postura correta,1,66.69412114556573,99.57723248778476
2025-05-29 18:08:44.939147,Postura correta,1,66.44762455723586,99.37101122483473
2025-05-29 18:08:44.886437,Postura correta,1,65.44003186465297,98.80249568197891
2025-05-29 18:08:44.822265,Postura correta,1,65.41174555261158,98.71025746040677
2025-05-29 18:08:44.758394,Postura correta,1,65.36151152634794,98.57205416708932
2025-05-29 18:08:44.693685,Postura correta,1,64.70712238937328,98.78430566040174
2025-05-29 18:08:44.631319,Postura correta,1,63.86306830915064,98.68754557004497
2025-05-29 18:08:44.566040,Postura correta,1,63.810156047311544,99.07430299729435
2025-05-29 18:08:44.502210,Postura correta,1,63.5858644898961,99.52954995773177
2025-05-29 18:08:44.437626,Postura correta,1,63.510407156311665,99.39268696395214
2025-05-29 18:08:44.378832,Postura correta,1,63.552354007278836,99.49295883113936
2025-05-29 18:08:44.314657,Postura correta,1,63.54541714853942,99.60549028377845
2025-05-29 18:08:44.239759,Postura correta,1,63.412105576288575,99.66146468964111
2025-05-29 18:08:44.178741,Postura correta,1,63.26141577249061,99.47813765818802
2025-05-29 18:08:44.120744,Postura correta,1,63.3103825324165,99.36511782395674
2025-05-29 18:08:44.062927,Postura correta,1,63.24070932227803,99.47538888512216
2025-05-29 18:08:44.004897,Postura correta,1,63.22695791213219,99.54206986951314
